"_id","_labels","party_movement_betweenness","all_betweenness","country","all_movement_betweenness","title","influence","active","name","community","party_community","betweenness","all_party_betweenness","total","europarty","established","seats","votes","ideology","active_movement_betweenness","_start","_end","_type"
"13",":Movement","0","172.09007352941177","Albania","0.09215686274509804","albanian_fascist_party","Italian Fascism","No","Albanian Fascist Party","","","","","","","","","","","",,,
"14",":Movement","0","0","Albania","0","guard_of_great_albania","Italian Fascism","No","Guard of Great Albania","","","","","","","","","","","",,,
"15",":Movement","0","0","Albania","0","albanian_nazi_party","Nazism","No","Albanian Nazi Party","","","","","","","","","","","",,,
"16",":Movement","0","81.74705420574024","Austria","77.01488413547233","austrian_national_socialism","Nazism","No","Austrian National Socialism","","","","","","","","","","","",,,
"17",":Movement","0","0","Austria","0","national_democratic_party","Nazism","No","National Democratic Party","","","","","","","","","","","",,,
"18",":Movement","0","0","Austria","0","patriotic_front_(austria)","Austro-fascism","No","Patriotic Front (Austria)","","","","","","","","","","","",,,
"19",":Movement","0","36.333333333333336","Austria","0","the_greens_of_austria","Nazism","No","The Greens of Austria","","","","","","","","","","","",,,
"200",":Party","0","0","Norway","","progress_party","","","Progress Party","4","4","0","0","169","","1973","27","444681","Right-wing populism, Conservative liberalism , Anti-immigration, Euroscepticism","",,,
"201",":Party","0","0.09903381642512077","Ireland","","sinn_f?in","","","Sinn Féin","30","51","0","0","166","","1905","23","295319","Irish republicanism , Left-wing nationalism , Democratic Socialism","",,,
"202",":Party","0","0","France","","national_front","","","National Front","4","4","0","0","577","<span style=""color:white;"">MENL</span>","1972","8","2.46246","French nationalism, Anti-Immigration, Euroscepticism","",,,
"203",":Party","0","100.67474747474736","Netherlands","","party_for_freedom","","","Party for Freedom","23","23","37.33333333333337","37.33333333333337","150","","2006","20","1372941","Anti-immigration, Anti-Islam, Euroscepticism","",,,
"204",":Party","0","424.628282828283","Sweden","","sweden_democrats","","","Sweden Democrats","4","4","49.33333333333335","49.33333333333335","349","ADDE","1988","49","801178","Swedish nationalism, http://www.svd.se/nyheter/inrikes/partiledningen-vann-strid-om-principprogrammet_6665934.svd Anti-immigration, Euroscepticism","",,,
"205",":Party","0","209.00977731418905","Germany","","alternative_for_germany","","","Alternative for Germany","4","4","30","30","631","","2013","94","5877094","Euroscepticism, National conservatism","",,,
"206",":Party","0","0","Russia","","ldpr","","","LDPR","6","6","0","0","450","","1991","39","6917063","Russian nationalism , Russian imperialism , anti-Americanism","",,,
"207",":Party","0","0","Norway","","centre_party","","","Centre Party","7","7","0","0","169","","1920","19","302017","Norwegian nationalism ( Civic nationalism ), Euroscepticism, Agrarianism","",,,
"208",":Party","0","0","Bulgaria","","imro_","","","IMRO – Bulgarian National Movement","8","8","0","0","240","","1999","11","318513","Bulgarian nationalism, conservatism, traditionalism","",,,
"209",":Party","0","0","Bulgaria","","national_front_for_the_salvation_of_bulgaria","","","National Front for the Salvation of Bulgaria","10","10","0","0","none","","2011","none","Bulgarian nationalism, national conservatism, Euroscepticism","","",,,
"210",":Party","0","0","Bulgaria","","attack","","","Attack","10","10","0","0","none","","2005","none","Bulgarian nationalism, ultranationalism,","","",,,
"211",":Party","0","0","Slovakia","","slovak_national_party","","","Slovak National Party","4","4","0","0","150","","1989","15","225386","","",,,
"212",":Party","0","177","Estonia","","conservative_people's_party_of_estonia","","","Conservative People's Party of Estonia","35","35","39","39","101","","2012","7","46772","","",,,
"213",":Party","0","176","Serbia","","serbian_radical_party","","","Serbian Radical Party","28","28","37","37","250","","1991","22","306052","","",,,
"214",":Party","0","0","Slovakia","","kotleba___people?s_party_our_slovakia","","","Kotleba - People’s Party Our Slovakia","14","14","0","0","150","","2011","14","209779","","",,,
"215",":Party","0","0","Greece","","golden_dawn","","","Golden Dawn","15","15","0","0","300","","1993","18","379581","","",,,
"216",":Party","0","0","Luxembourg","","alternative_democratic_reform_party","","","Alternative Democratic Reform Party","55","55","0","0","60","","1987","3","217683","","",,,
"217",":Party","0","2","Armenia","","armenian_revolutionary_federation","","","Armenian Revolutionary Federation","17","17","1","1","105","","1890","7","85550","","",,,
"218",":Party","0","175","Lithuania","","order_and_justice","","","Order and Justice","23","23","37","37","141","","2002","5","67794","","",,,
