,active,community,country,label,links,name,title
0,,5,Hungary,party,"[Alain Poher, Albania, Alexander Stubb, Alfred Bertrand, Algirdas Šemeta, Alliance of European Conservatives and Reformists, Alliance of Free Democrats, Alliance of Vojvodina Hungarians, Andris Piebalgs, Angela Merkel, Anti-communism, Antonis Samaras, Armenia, Asia Pacific Democrat Union, Aspen Institute, Australia, Austria, Austrian People's Party, Azerbaijan, Azerbaijan National Independence Party, BPF Party, Barroso Commission, Batkivshchyna, Belarus, Belgium, Bharatiya Janata Party, Bolivia, Bosnia and Herzegovina, Brazil, Budapest, Bulgaria, CDS – People's Party, Canada, Caribbean Democrat Union, Central European University Press, Centre démocrate humaniste, Centrist Democrat International, Chile, Christen-Democratisch en Vlaams, Christian-Democratic Movement , Christian Democratic Appeal, Christian Democratic Movement, Christian Democratic Party , Christian Democratic People's Party , Christian Democratic People's Party of Switzerland, Christian Democratic Union , Christian Democratic Union of Germany, Christian Democrats , Christian Democrats , Christian Democrats , Christian People's Party , Christian Social People's Party, Christian Social Union in Bavaria, Christian and Democratic Union – Czechoslovak People's Party, Christian democracy, Church and state, Civic Democratic Party , Civic Platform, Classical liberal, Classical liberalism, Colombia, Colombian Conservative Party, Connie Hedegaard, Conservatism, Conservative Party , Conservative Party , Conservative Party , Conservative Party of Canada, Conservative People's Party , Constitution of Hungary, Constitutional Court of Hungary, Council of Europe, Counties of Hungary, Croatia, Croatian Democratic Union, Croatian Democratic Union 1990, Croatian Democratic Union of Bosnia and Herzegovina, Croatian Peasant Party, Cyprus, Czech Republic, Dacian Cioloș, Democrat Union of Africa, Democratic Alliance of Hungarians in Romania, Democratic Coalition , Democratic League of Kosovo, Democratic Party , Democratic Party , Democratic Party of Albania, Democratic Party of Serbia, Democratic Rally, Democratic Union of Catalonia, Democratic and Social Centre – People's Party, Democrats , Democrats for a Strong Bulgaria, Denmark, Deutsche Welle, Dialogue for Hungary, Dominican Republic, EUobserver, Economic interventionism, ...]",Fidesz,fidesz
1,No,0,Poland,movement,"[1934 Montreux Fascist conference, 4th of August Regime, 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Actual idealism, Adam Koc, Adolf Hitler, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Allach , Alliance , Alliance of Democrats , Alphonse de Châteaubriant, Alt-right, Anastasy Vonsiatsky, Andrés Soriano, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-Semitism, Anti-communism, Anti-fascism, Ardengo Soffici, Arditi, Arrow Cross Party, Art of the Third Reich, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis powers, Beer Hall Putsch, Benito Mussolini, Black Brigades, Black Front , Blackshirts, Blue Shirts Society, Blueshirts, Bolesław Piasecki, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, British People's Party , British Union of Fascists, Camp of Great Poland, Camp of National Unity, Canadian Union of Fascists, Capitalism, Carl Schmitt, Carlo Costamagna, Catholic-National Movement, Catholic People's Party , Centrolew, Chamber of Fasci and Corporations, Charles Luca, Christian Democracy , Christian National Union, Christian Union of National Unity, Christofascism, Citizens' Movement for Democratic Action, Civic Platform, Class collaboration, Clerical People's Party, Clerical fascism, Clericalism, Communist Party of Poland, Communist Party of Poland , Confederation of Independent Poland, Congress of the New Right, Conservatism, Conservative People's Party , Corfu incident, Corneliu Zelea Codreanu, Corporatism, Crusade of Romanianism, Crypto-fascism, Curzio Malaparte, Das Reich , Das Schwarze Korps, Definitions of fascism, Democratic Fascist Party, Democratic Left Alliance, Democratic Party – demokraci.pl, Democratic Union , Denazification, Der Angriff, Der Stürmer, Detention Camp Bereza Kartuska, Deutsche Allgemeine Zeitung, Deutsche Zeitung in Norwegen, ...]",National Radical Camp-ABC (ONR-ABC),national_radical_camp_abc_(onr_abc)
2,No,0,France,movement,"[1934 Montreux Fascist conference, 33rd Waffen Grenadier Division of the SS Charlemagne , 4th of August Regime, 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Action Française, Actual idealism, Adolf Hitler, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Albert Treint, Alexis Carrel, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Algiers, Allach , Alphonse de Châteaubriant, Alt-right, Anastasy Vonsiatsky, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-Semitism, Anti-capitalism, Anti-communism, Anti-fascism, Anti-semitic, Anti-semitism, Ardengo Soffici, Arditi, Arrow Cross Party, Art of the Third Reich, Au Pilori, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis powers, Bad Mergentheim, Banque Worms, Battle of France, Beer Hall Putsch, Belarus, Benito Mussolini, Benoît Frachon, Bertrand de Jouvenel, Black Brigades, Black Front , Blackshirts, Blue, Blue Shirts Society, Blueshirts, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, British People's Party , British Union of Fascists, Canadian Union of Fascists, Carl Schmitt, Carlo Costamagna, Celtic cross, Chamber of Fasci and Corporations, Christofascism, Class collaboration, Clerical People's Party, Clerical fascism, Collaborationism, Communist, Republican, Citizen and Ecologist group, Concentration camp, Congress of Tours, Conservatism, Convention for a Progressive Alternative, Corfu incident, Corneliu Zelea Codreanu, Corporatism, Croix de Feu, Crusade of Romanianism, Crypto-fascism, Curzio Malaparte, Das Reich , Das Schwarze Korps, Definitions of fascism, Democratic Fascist Party, Democratic and Republican Left group, Denazification, Der Angriff, Der Stürmer, Deutsche Allgemeine Zeitung, Deutsche Zeitung in Norwegen, Deutsche Zeitung in den Niederlanden, Dictatorship, Dimitrije Ljotić, ...]",Parti Populaire Français,parti_populaire_fran?ais
3,,10,Estonia,party,"[Christian People's Party , Communist Party of Estonia, Communist Party of Estonia , Conservative People's Party of Estonia, Constitution Party , Demobilised Soldiers' Union, Democratic Bloc , Economic Group , Eesti Ekspress, Eesti Päevaleht, Elections in Estonia, Estonia, Estonian Centre Party, Estonian Coalition Party, Estonian Democratic Labour Party , Estonian Democratic Party, Estonian Free Party, Estonian Greens, Estonian Labour Party, Estonian Left Party, Estonian Liberal Democratic Party, Estonian National Independence Party, Estonian People's Party, Estonian Radical Democratic Party, Estonian Reform Party, Estonian Social Democratic Independence Party, Estonian Social Democratic Workers' Party, Estonian United Left Party, Estonian language, Estonian nationalism, Estonian parliamentary election, 2003, Estonian parliamentary election, 2007, Estonian parliamentary election, 2011, Estonian parliamentary election, 2015, Farmers' Assemblies, Finland, German-Baltic Party, Hard euroscepticism, International Monetary Fund, Johan Bäckman, Landlords' Party, Libertas Estonia, National Centre Party , National Liberal Party , Neo-Nazi, Neocolonization, Party of Estonian Christian Democrats, Patriotic League , People's Party of Republicans and Conservatives, People's Union of Estonia, Percentage point, Political spectrum, Politics of Estonia, Pro Patria Union, Pro Patria and Res Publica Union, Rahvarinne, Republican Party , Res Publica Party, Riigikogu, Russian Party in Estonia, Russian Social Democratic Party of Estonia, Setomaa, Settlers' Party, Social Democratic Party , Social Liberal group , Sven Sildnik, Swedish People's League in the Baltic Sea Provinces, Tallinn, Tenants' Union, Ultranationalism, Union of Settlers and Smallholders, Vaps Movement]",Estonian Independence Party,estonian_independence_party
4,No,0,Netherlands,movement,"[1934 Montreux Fascist conference, 23rd SS Volunteer Panzer Grenadier Division Nederland, 34th SS Volunteer Grenadier Division Landstorm Nederland, 4th SS Volunteer Panzergrenadier Brigade Netherlands, 4th of August Regime, 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Actual idealism, Adolf Hitler, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Alfred Haighton, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Allach , Alphonse de Châteaubriant, Alt-right, Amsterdam, Anastasy Vonsiatsky, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-communism, Anti-fascism, Anti-semitism, Anton Mussert, Ardengo Soffici, Arditi, Arnold Meijer, Arrow Cross Party, Art of the Third Reich, Arthur Seyss-Inquart, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis powers, Beer Hall Putsch, Benito Mussolini, Black Brigades, Black Front , Blackshirts, Blue Shirts Society, Blueshirts, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, British People's Party , British Union of Fascists, Canadian Union of Fascists, Carl Schmitt, Carlo Costamagna, Chamber of Fasci and Corporations, Christofascism, Class collaboration, Clerical People's Party, Clerical fascism, Conservatism, Corfu incident, Cornelis van Geelkerken, Corneliu Zelea Codreanu, Corporatism, Crusade of Romanianism, Crypto-fascism, Curzio Malaparte, Daniël de Blocq van Scheltinga, Das Reich , Das Schwarze Korps, Definitions of fascism, Democratic Fascist Party, Denazification, Der Angriff, Der Stürmer, Deutsche Allgemeine Zeitung, Deutsche Zeitung in Norwegen, Deutsche Zeitung in den Niederlanden, Dictatorship, Dimitrije Ljotić, Dionisio Ridruejo, Dutch Fascist Union, Dutch general election, 1937, Dutch language, Economic interventionism, Economics of fascism, Einsatzgruppen, Elections in the Netherlands, Enabling Act of 1933, Enrico Corradini, Eoin O'Duffy, Ernst Herman van Rappard, Esoteric Nazism, Eugenics, ...]",Nationaal-Socialistische Nederlandsche Arbeiderspartij,nationaal_socialistische_nederlandsche_arbeiderspartij
5,No,1,Sweden,movement,"[Abraham Foxman, Adolf Hitler, Adrian Molin, Afrikaner Weerstandsbeweging, Albert Spaggiari, Alexander Barkashov, Alternative for Sweden, American Front, American Nazi Party, Anders Behring Breivik, Andrew Anglin, Antipodean Resistance, Artgemeinschaft, Arthur J. Jones, Aryan Guard, Aryan Nations, Aryan Republican Army, Atomwaffen Division, Azov Battalion, Bela Ewald Althans, Bert Eriksson, Bevara Sverige Svenskt, Birger Furugård, Black Order , Blanke Bevrydingsbeweging, Bloed, Bodem, Eer en Trouw, Blood & Honour, Blue, Bosnian Movement of National Pride, British Movement, CEDADE, Canadian Nazi Party, Carl-Ehrenfried Carlberg, Christian Worch, Colin Jordan, Colin King-Ansell, Combat 18, Communism, Communist state, Corporatism, Creativity , David Lane , David Myatt, Davud Monshizadeh, Democracy, Deutsche Heidnische Front, Deutsche Reichspartei, Don Black , Dress code, Elof Eriksson, Ernst Zündel, Eugène Terre'Blanche, European Liberation Front, European Social Movement, European Workers Party, Eustace Mullins, Florentine Rost van Tonningen, Francis Parker Yockey, Franco Freda, Françoise Dior, Free German Workers' Party, Fritz Rössler, Führerprinzip, Gary Lauck, Gary Schipper, Gaston-Armand Amaudruz, George Burdi, George Lincoln Rockwell, German Alternative, German Social Union , Gesinnungsgemeinschaft der Neuen Front, Golden Dawn , Gottfried Küssel, H. Keith Thompson, Hammerskins, Hampus Hellekant, Hans-Ulrich Rudel, Harold Covington, Heathen Front, Heritage Front, Holocaust denial, Horst Mahler, Horst Rosenkranz, Hungarian National Front, Ian Stuart Donaldson, Info-14, István Győrkös, Jack van Tongeren, Jackie Arklöv, Jacques de Mahieu, James H. Madole, James Mason , Jeff Schoep, Jimmie Åkesson, John Hron, John Tyndall , Joseph Tommasi, Karlskrona, Kerry Bolton, Klas Lund, ...]",National Socialist Front (Swedish: Nationalsocialistisk Front),national_socialist_front_(swedish:_nationalsocialistisk_front)
6,,4,Italy,party,"[Administer Trentino, Adriana Poli Bortone, Alessandro Bordoni, Alessandro Pavolini, Alliance of European National Movements, Alto Adige in the Heart, Anti-capitalism, Antonio Buonfiglio, Article 1 – Democratic and Progressive Movement, Associative Movement Italians Abroad, Attilio Carelli, Autonomy Liberty Participation Ecology, Autonomy and Rights, Benito Mussolini, Blood and Honour, British National Party, Brothers of Italy, CasaPound, Chamber of Deputies , Christian Popular Union, Citizens' Union for South Tyrol, Civic Choice, Civic Commitment, Communist Refoundation Party, Conservatism, Daniela Santanchè, Democracy and Autonomy, Democratic Centre , Democratic Party , Die Freiheitlichen, Direction Italy, Diventerà Bellissima, Domenico Nania, Edelweiss , Elections in Italy, Energies for Italy, Fascism, Federation of the Greens, Five Star Movement, For Our Valley, For the Autonomies, Forza Italia , Francesco Condorelli, Francesco Storace, Free and Equal , Future and Freedom, Greens , House of Freedoms, Hungary, I the South, Independence We Veneto, International Standard Book Number, Italian Chamber of Deputies, Italian Communist Party , Italian Left, Italian Liberal Party , Italian Radicals, Italian Social Movement, Italian Social Republic, Italian general election, 1996, Italian general election, 2001, Italian general election, 2006, Italian general election, 2008, Italian general election, 2013, Italian general election, 2018, Italian general elections, 2006, Italian language, Italy, Italy for the Italians, Italy of Values, Jobbik, Ladin Autonomist Union, Lega Lombarda, Lega Nord, Lega Nord Emilia, Lega Nord Friuli-Venezia Giulia, Lega Nord Liguria, Lega Nord Marche, Lega Nord Piemont, Lega Nord Romagna, Lega Nord Toscana, Lega Nord Trentino, Lega Nord Umbria, Lega Nord Valle d'Aosta, Liga Veneta, Luca Romagnoli, Manlio Sargenti, Mixed Group, Moderates , More Europe, Mouv' , Movement for the Autonomies, National Alliance , National Renovator Party, Neo-fascism, New Force , Oreste Tofani, Pact for Autonomy, Pact of Democrats for Reforms, Padania, ...]",Tricolour Flame,tricolour_flame
7,No,13,Greece,movement,"[.eu, .gr, .ελ, 1000000000 , 1896 Summer Olympics, 1896 Summer Olympics medal table, 1998 Cannes Film Festival, 19th meridian east, 2004 Summer Olympics, 2005 FINA Women's Water Polo World League, 2005 World Aquatics Championships, 2006 FIBA World Championship, 2010 European sovereign debt crisis, 2010 Women's European Water Polo Championship, 2010–2012 Greek protests, 2012 Women's European Water Polo Championship, 30th meridian east, 35th parallel north, 3G, 42nd parallel north, 4G, 4th of August Regime, A1 Ethniki, A1 Ethniki Volleyball, A1 Ethniki Water Polo, A1 Ethniki Women's Water Polo, A1 Greek water polo, AC Diomidis Argous, AEK Athens B.C., AEK Athens F.C., ANO Glyfada, Abkhazia, Academic institution, Academy Award for Best Supporting Actress, Academy Awards, Academy of Athens , Achaea, Achaea , Achaemenid Empire, Acritic songs, Acropolis of Athens, Acute , Adamantios Korais, Administrative divisions of Greece, Adolf Hitler, Aegean Airlines, Aegean Islands, Aegean Sea, Aegean civilizations, Aegean dispute, Aeneid, Aeschylus, Afghanistan, Africa, Age of Enlightenment, Aging of Europe, Agriculture, Agriculture in Greece, Agrinio, Aimilios Veakis, Akrites, Akrotiri and Dhekelia, Albania, Albanian Armed Forces, Albanian language, Alekos Sakellarios, Alexander III of Macedon, Alexander Payne, Alexander Ypsilantis , Alexander the Great, Alexandria, Alexandros Papadiamantis, Alexandroupoli, Alexis Minotis, Alexis Tsipras, Alfred North Whitehead, Aliki Vougiouklaki, All-time Olympic Games medal table, Allied Air Command, Allied Command Transformation, Allied Joint Force Command Brunssum, Allied Joint Force Command Naples, Allied Land Command, Allied Maritime Command, Allies of World War II, Allyn & Bacon, Almond, Alpine climate, Amalia Fleming, America America, Analog computer, Anastasios Metaxas, Anatolia, Ancient Greece, Ancient Greek, Ancient Greek Religion, Ancient Greek architecture, Ancient Greek comedy, Ancient Greek language, Ancient Greek medicine, ...]",National Union of Greece [4],national_union_of_greece_[4]
8,No,0,Sweden,movement,"[1934 Montreux Fascist conference, 4th of August Regime, 6 February 1934 crisis, Abba Ahimeir, Acerbo Law, Actual idealism, Adolf Hitler, Afrikaner Weerstandsbeweging, Agostino Lanzillo, Ahnenerbe, Ailtirí na hAiséirghe, Albanian Fascist Militia, Albanian Fascist Party, Alfred Ploetz, Alfred Rosenberg, Alfredo Rocco, Allach , Alphonse de Châteaubriant, Alt-right, Anastasy Vonsiatsky, Ante Pavelić, Anti-Comintern Pact, Anti-Nazi League, Anti-communism, Anti-fascism, Ardengo Soffici, Arditi, Arrow Cross Party, Art of the Third Reich, Austrian National Socialism, Austrofascism, Authoritarianism, Aventine Secession , Axis powers, Beer Hall Putsch, Benito Mussolini, Black Brigades, Black Front , Blackshirts, Blue Shirts Society, Blueshirts, Brazilian Integralism, Breton Social-National Workers' Movement, Brit HaBirionim, British Fascism, British Fascists, British People's Party , British Union of Fascists, Canadian Union of Fascists, Carl Schmitt, Carlo Costamagna, Chamber of Fasci and Corporations, Christianity, Christofascism, Church of Sweden, Class collaboration, Clerical fascism, Conservatism, Corfu incident, Corneliu Zelea Codreanu, Corporatism, Crusade of Romanianism, Crypto-fascism, Curzio Malaparte, Das Reich , Das Schwarze Korps, Definitions of fascism, Democratic Fascist Party, Denazification, Der Angriff, Der Stürmer, Deutsche Allgemeine Zeitung, Deutsche Zeitung in Norwegen, Deutsche Zeitung in den Niederlanden, Dictatorship, Dimitrije Ljotić, Dionisio Ridruejo, Economic interventionism, Economics of fascism, Einsatzgruppen, Enabling Act of 1933, Enrico Corradini, Eoin O'Duffy, Esoteric Nazism, Eugenics, Faisceau, Falange Española de las JONS, Falangism, Falangism in Latin America, Fall of the Fascist regime in Italy, Fascio, Fascism, Fascism and ideology, Fascism in Africa, Fascism in Asia, Fascism in Canada, Fascism in Europe, Fascism in North America, Fascism in South America, Fascist, ...]",Clerical People's Party,clerical_people's_party
9,No,0,Belgium,movement,"[5th SS Volunteer Sturmbrigade Wallonien, 6th SS Volunteer Sturmbrigade Langemarck, Abwehr, Adolf Hitler, Alexander von Falkenhausen, Algemeene-SS Vlaanderen, Allies of World War II, Antisemitism, Antwerp pogrom, Authoritarianism, Belgian general election, 1936, Belgian general election, 1939, Belgium, Belgium in World War II, Biographical Dictionary of the Extreme Right Since 1890, Blue, Brussels, Catholic Party , Collaboration, Collaborationism, Communism, Corporatism, DeVlag, De Schelde, Deportation, Dietsland, Distrikt Brüssel, Dutch language, Dutch people, Elections in Belgium, Fascism, Flamenpolitik, Flanders, Flemish Movement, Flemish Region, Flemish nationalism, Flemish people, Frontpartij, Führer, German occupation of Belgium during World War II, Giovanni Capoccia, Greater Netherlands, Heinrich Himmler, Hendrik Elias, International Standard Book Number, Jean Denis , Jef François, Jef van de Wiele, Jews, Joris Van Severen, José Streel, Liberalism, Léon Degrelle, Military Administration in Belgium and Northern France, National Socialism, Nationalism, Nazi Germany, Nazism, Netherlands, Orange , Paul Hoornaert, Philip Rees, Political spectrum, Politics of Belgium, Populism, Reichsgau Flandern, Reichsgau Wallonien, Reichskommissariat Belgien-Nordfrankreich, René Lagrou, Rexism, Rexist Party, SS, Scheldt, Second World War, Staf De Clercq, Staf de Clercq, Staf de Clerq, The Holocaust in Belgium, Verdinaso, Victor Matthys, Volk en Staat, Ward Hermans, Wehrmacht, White, Yellow badge]",Flemish National Union,flemish_national_union
